Aggregation analysis	PioViewer 1.10.22.11														
File	 D:\Sulva\Apple_Jesolver\AcAdAh.cfr														
Action Line	Root														
Flop	Global %	OOP Equity	OOP EV	OOP EQR	IP Equity	IP EV	IP EQR	BET 22%	BET 22 EV	BET 15%	BET 15 EV	BET 9%	BET 9 EV	CHECK%	CHECK EV
9h 8d 2c	100	53.99	15.261	94.2182	46.01	14.7389	106.785	17.79	20.15	9.32	18.84	13.6	17.41	59.29	12.74
9h 8d 3c	100	53.49	14.9598	93.2165	46.51	15.0404	107.804	16.38	20.01	9.12	18.88	11.26	17.41	63.24	12.65
9h 8d 4c	100	54.5	15.2179	93.0815	45.5	14.7823	108.287	13.12	19.84	10.2	18.9	18.19	17.4	58.49	12.86
9h 8d 5c	100	52.22	13.0745	83.4507	47.78	16.9258	118.092	1.02	19.4	3.49	18.51	5.77	17.65	89.71	12.5
9h 8d 6c	100	51.96	13.2585	85.0576	48.04	16.7417	116.163	0.72	19.96	1.69	18.81	4.46	17.98	93.12	12.88
9h 8d 7c	100	52.51	14.4666	91.8351	47.49	15.5334	109.028	4.05	20.44	5.9	19.67	12.85	18.15	77.2	13.14
Ac 2d 2c	100	57.02	16.8738	98.6449	42.98	13.1269	101.804	0.11	19.25	1.21	18.11	50.01	18.23	48.68	15.45
Ac 3c 2c	100	54.8	15.8197	96.2292	45.2	14.1805	104.573	0.65	21.71	1.14	20.12	18.57	18.11	79.64	15.17
Ac 3c 2d	100	55.78	16.1763	96.669	44.22	13.8237	104.202	0.19	20.65	1.8	18.79	39.3	18.18	58.72	14.74
Ac 3d 3c	100	56.08	16.0846	95.5998	43.92	13.916	105.623	0.01	27.35	0.27	18.16	32.88	18.02	66.83	15.12
Ac 3d 2c	100	55.67	16.0626	96.1721	44.33	13.9375	104.809	0.07	21.38	1.43	18.64	37.8	18.14	60.7	14.7
Ac 4c 2c	100	54.46	15.4667	94.6746	45.54	14.5333	106.367	0.44	21.04	0.92	19.73	13.79	17.86	84.85	15
Ac 4c 2d	100	55.47	15.6404	93.9849	44.53	14.3603	107.498	0.06	20.65	0.63	18.34	33.5	17.86	65.8	14.48
Ac 4c 3c	100	54.04	15.4465	95.2708	45.96	14.554	105.565	0.67	21.24	1.23	20	15.6	17.87	82.49	14.87
Ac 4c 3d	100	54.56	15.2008	92.8725	45.44	14.7996	108.56	0.08	21.24	0.65	18.08	28.07	17.68	71.21	14.19
Ac 4d 4c	100	56.63	16.8593	99.2431	43.37	13.1408	100.989	0.13	18.93	1.18	18.27	47.9	18.32	50.79	15.44
Ac 4d 2c	100	55.48	15.6564	94.0739	44.52	14.3438	107.385	0.07	20.36	0.69	18.22	33.52	17.87	65.72	14.5
Ac 4d 3c	100	54.66	15.3214	93.4264	45.34	14.6789	107.929	0.09	21.29	0.74	18.16	30.08	17.74	69.09	14.23
Ac 5c 2c	100	54.29	15.313	94.0189	45.71	14.687	107.104	0.49	21.04	0.88	20.04	11.03	17.79	87.6	14.92
Ac 5c 2d	100	55.37	15.504	93.3306	44.63	14.4963	108.278	0.07	20.57	0.52	18.46	32.41	17.81	67	14.36
Ac 5c 3c	100	53.92	15.308	94.6423	46.08	14.6928	106.273	0.77	21.25	1.33	20.09	12.96	17.74	84.94	14.81
Ac 5c 3d	100	54.51	15.1116	92.4146	45.49	14.8891	109.093	0.1	21.31	0.55	18.56	27.68	17.66	71.68	14.09
Ac 5c 4c	100	53.56	15.122	94.1058	46.44	14.8779	106.798	0.78	21.1	1.67	20.15	11.65	17.84	85.9	14.6
Ac 5c 4d	100	54.09	14.7467	90.8798	45.91	15.2539	110.749	0.1	21.63	0.48	18.52	22.9	17.53	76.52	13.88
Ac 5d 5c	100	56.23	16.2571	96.3756	43.77	13.7433	104.658	0.04	21.26	0.35	18.29	32.69	18.14	66.92	15.32
Ac 5d 2c	100	55.44	15.5992	93.7873	44.56	14.401	107.732	0.1	20.25	0.68	18.46	34.29	17.83	64.93	14.38
Ac 5d 3c	100	54.68	15.3108	93.3371	45.32	14.6895	108.041	0.1	21.03	0.65	18.42	31.4	17.73	67.85	14.15
Ac 5d 4c	100	54.15	14.8226	91.2431	45.85	15.1777	110.345	0.1	21.49	0.53	18.51	24.31	17.54	75.05	13.91
Ac 6c 2c	100	54.99	15.864	96.1702	45.01	14.1363	104.681	0.53	22.01	0.7	20.66	19.7	18.05	79.07	15.24
Ac 6c 2d	100	56.29	16.7536	99.2041	43.71	13.247	101.03	0.32	19.55	3.21	19.18	53.18	18.31	43.29	14.64
Ac 6c 3c	100	54.58	15.7966	96.4691	45.42	14.2042	104.249	0.62	21.96	0.97	20.72	21.94	17.94	76.48	15.07
Ac 6c 3d	100	55.51	16.3233	98.0274	44.49	13.6772	102.465	0.31	19.82	2.62	18.91	48.3	18.16	48.78	14.35
Ac 6c 4c	100	54.43	15.7184	96.2596	45.57	14.2815	104.467	0.53	21.63	1.18	20.5	21.74	17.96	76.55	14.97
Ac 6c 4d	100	55.39	16.2635	97.8731	44.61	13.7365	102.64	0.3	19.73	3.12	18.94	48.62	18.1	47.96	14.2
Ac 6c 5c	100	53.9	15.2409	94.2527	46.1	14.7595	106.723	0.52	21.43	1.22	20.28	13.12	17.99	85.14	14.71
Ac 6c 5d	100	54.81	15.4825	94.1562	45.19	14.5181	107.093	0.26	21.23	2.28	18.92	34.29	17.93	63.18	14.01
Ac 6d 6c	100	56.25	16.4684	97.5878	43.75	13.5324	103.108	0.07	19.63	0.6	18.48	37.44	18.16	61.88	15.42
Ac 6d 2c	100	56.46	16.9453	100.041	43.54	13.0551	99.9492	0.36	19.58	3.58	19.2	56.86	18.33	39.2	14.71
Ac 6d 3c	100	55.78	16.6344	99.4091	44.22	13.3656	100.745	0.32	19.45	3.29	19.11	54.01	18.2	42.38	14.43
Ac 6d 4c	100	55.55	16.4437	98.6781	44.45	13.5566	101.654	0.35	19.64	3.94	19.08	51.1	18.13	44.61	14.25
Ac 6d 5c	100	54.9	15.5839	94.613	45.1	14.4161	106.559	0.32	20.97	2.13	18.94	37	17.93	60.55	14
Ac 7c 2c	100	53.81	15.6655	97.0435	46.19	14.3349	103.447	1.03	22.04	0.88	20.71	21.87	17.96	76.22	14.86
Ac 7c 2d	100	54.45	16.2039	99.1963	45.55	13.7965	100.964	0.66	20.35	7.09	19.42	41.16	18.25	51.09	14.06
Ac 7c 3c	100	53.39	15.5452	97.0506	46.61	14.455	103.38	1.3	21.87	1.15	20.56	20.93	17.89	76.63	14.72
Ac 7c 3d	100	53.73	15.7604	97.7826	46.27	14.2398	102.576	0.62	20.53	4.46	19.4	38.33	18.15	56.59	13.81
Ac 7c 4c	100	53.2	15.3244	96.0113	46.8	14.6758	104.536	1.01	21.71	1.22	20.47	17.83	17.81	79.94	14.61
Ac 7c 4d	100	53.81	15.6514	96.9574	46.19	14.3488	103.545	0.52	20.37	3.7	19.28	39.59	18.02	56.18	13.7
Ac 7c 5c	100	53.04	15.2604	95.8961	46.96	14.7402	104.641	1.06	21.57	1.72	20.17	17.1	17.85	80.13	14.52
Ac 7c 5d	100	53.61	15.6733	97.4454	46.39	14.3272	102.956	1.07	21	6.9	19.48	35.34	18.07	56.7	13.62
Ac 7c 6c	100	53.31	15.1272	94.5929	46.69	14.8734	106.177	0.71	21.56	1.31	20.18	9.58	18.09	88.4	14.68
Ac 7c 6d	100	54.14	15.6996	96.6647	45.86	14.3006	103.939	1.51	21.34	5.19	19.68	30.26	18.27	63.03	14
Ac 7d 7c	100	53.79	14.7708	91.5345	46.21	15.2297	109.858	0.15	20.91	0.54	18.39	5.02	17.65	94.29	14.59
Ac 7d 2c	100	54.59	16.3714	99.9647	45.41	13.6286	100.043	0.8	20.61	7.44	19.5	43.41	18.26	48.35	14.13
Ac 7d 3c	100	53.97	16.0447	99.0968	46.03	13.9554	101.059	0.68	20.45	5.27	19.46	42.8	18.15	51.24	13.87
Ac 7d 4c	100	53.93	15.7986	97.6538	46.07	14.2013	102.745	0.52	20.15	4.97	19.27	40.47	18.04	54.04	13.76
Ac 7d 5c	100	53.66	15.7387	97.7608	46.34	14.2616	102.596	1.34	20.96	8.68	19.46	33.31	18.1	56.67	13.66
Ac 7d 6c	100	54.09	15.6713	96.5702	45.91	14.3287	104.041	1.58	21.42	5.16	19.72	29.59	18.26	63.68	14
Ac 8c 2c	100	55.42	16.0305	96.4194	44.58	13.9696	104.452	0.6	21.99	0.89	20.67	20.69	18.14	77.81	15.37
Ac 8c 2d	100	56.77	16.9398	99.466	43.23	13.0606	100.705	0.49	20.41	4.4	19.73	54.36	18.41	40.76	14.64
Ac 8c 3c	100	55.24	16.145	97.4278	44.76	13.8554	103.177	0.81	22.13	1.18	20.79	25.31	18.17	72.7	15.3
Ac 8c 3d	100	56.14	16.7135	99.2328	43.86	13.2865	100.982	0.53	20.36	5.49	19.74	49.5	18.37	44.48	14.46
Ac 8c 4c	100	54.94	15.7891	95.8025	45.06	14.2113	105.12	0.54	21.65	1.37	20.38	20.1	18.1	77.99	15.07
Ac 8c 4d	100	56.22	16.506	97.8597	43.78	13.494	102.748	0.48	20.71	5.74	19.61	47	18.26	46.78	14.32
Ac 8c 5c	100	54.32	15.468	94.9176	45.68	14.5319	106.043	0.64	21.52	1.58	20.21	16.31	18.06	81.46	14.81
Ac 8c 5d	100	55.47	15.9784	96.013	44.53	14.0219	104.97	0.62	20.7	5.9	19.52	39.05	18.1	54.43	14.02
Ac 8c 6c	100	54.34	15.4429	94.7313	45.66	14.5575	106.272	0.75	21.91	1.49	20.34	11.24	18.19	86.52	14.95
Ac 8c 6d	100	55.76	16.3357	97.6576	44.24	13.6646	102.955	2.19	21.25	8.43	20.03	37.27	18.32	52.11	14.11
Ac 8c 7c	100	54.03	15.4356	95.2261	45.97	14.5649	105.615	0.78	21.56	1.82	20.09	10.27	18.51	87.13	14.92
Ac 8c 7d	100	55.06	16.1893	98.0173	44.94	13.8104	102.427	4.55	21.3	7.55	20.39	28.43	18.49	59.47	14.16
Ac 8d 8c	100	56.89	16.7338	98.0461	43.11	13.2661	102.577	0.13	20.48	0.7	18.69	38.38	18.2	60.79	15.78
Ac 8d 2c	100	56.92	17.1191	100.254	43.08	12.8811	99.6659	0.51	20.31	5.05	19.81	57.45	18.41	37	14.71
Ac 8d 3c	100	56.41	17.0199	100.581	43.59	12.9804	99.2504	0.58	20.48	6.61	19.81	55.07	18.36	37.75	14.52
Ac 8d 4c	100	56.36	16.6857	98.6778	43.64	13.3141	101.707	0.57	20.7	6.2	19.69	51.05	18.22	42.18	14.33
Ac 8d 5c	100	55.55	16.0737	96.4601	44.45	13.9265	104.425	0.85	20.9	6.46	19.6	40.51	18.07	52.18	14.01
Ac 8d 6c	100	55.73	16.3245	97.6402	44.27	13.6756	102.972	2.65	21.37	7.04	20.1	38.27	18.3	52.05	14.1
Ac 8d 7c	100	55.07	16.2144	98.1469	44.93	13.7855	102.27	5.45	21.35	7.24	20.5	28.46	18.46	58.86	14.13
Ac 9c 2c	100	56.17	16.3423	96.9778	43.83	13.658	103.876	0.73	22.49	0.68	21.31	20.58	18.44	78.01	15.69
Ac 9c 2d	100	57.73	17.3543	100.198	42.27	12.6459	99.7307	0.23	20.89	2.44	19.75	60.97	18.59	36.37	15.09
Ac 9c 3c	100	55.88	16.2769	97.1013	44.12	13.7232	103.672	0.74	22.41	0.76	21.18	21.43	18.33	77.07	15.6
Ac 9c 3d	100	57.19	17.0412	99.3168	42.81	12.9592	100.917	0.27	20.66	2.62	19.67	55.32	18.51	41.8	14.92
Ac 9c 4c	100	56.02	16.2486	96.6758	43.98	13.7516	104.237	0.52	22.35	1.03	20.99	22.1	18.34	76.34	15.54
Ac 9c 4d	100	57.7	17.2884	99.8803	42.3	12.7122	100.168	0.31	20.21	3.39	19.79	59.22	18.58	37.08	14.97
Ac 9c 5c	100	55.42	15.9078	95.6787	44.58	14.0928	105.376	0.74	21.89	2.06	20.49	17.87	18.46	79.33	15.16
Ac 9c 5d	100	56.98	16.7649	98.0694	43.02	13.2354	102.56	0.9	21.02	8.06	19.85	46.33	18.37	44.7	14.46
Ac 9c 6c	100	55.19	15.8095	95.487	44.81	14.1909	105.561	1.06	22.24	1.83	20.64	12.51	18.54	84.6	15.22
Ac 9c 6d	100	56.85	16.8279	98.6747	43.15	13.1722	101.747	2.18	21.55	9.62	20.14	40.48	18.57	47.72	14.46
Ac 9c 7c	100	54.74	15.6811	95.4872	45.26	14.3194	105.462	1.15	22.01	1.87	20.36	10.42	18.63	86.56	15.14
Ac 9c 7d	100	56.01	16.4596	97.9631	43.99	13.5408	102.596	3.95	21.53	7.97	20.47	29.62	18.72	58.46	14.42
Ac 9c 8c	100	55.33	15.7596	94.9499	44.67	14.2404	106.254	0.87	21.63	2.5	20.23	9.72	19.38	86.9	15.17
Ac 9c 8d	100	56.99	16.5359	96.7259	43.01	13.4644	104.34	9.26	21.34	8.63	20.61	19.58	18.74	62.54	14.57
Ac 9d 9c	100	58.11	17.6992	101.534	41.89	12.3015	97.8778	0.15	20.62	1.01	19.2	55.58	18.65	43.26	16.44
Ac 9d 2c	100	57.85	17.4795	100.718	42.15	12.5205	99.0152	0.31	21.01	2.77	19.86	63.09	18.58	33.83	15.19
Ac 9d 3c	100	57.42	17.2964	100.403	42.58	12.7042	99.4603	0.31	20.57	3	19.8	60.94	18.52	35.75	14.98
Ac 9d 4c	100	57.81	17.4153	100.426	42.19	12.585	99.4196	0.31	20.41	3.35	19.8	63.39	18.54	32.94	14.98
Ac 9d 5c	100	57.02	16.817	98.3104	42.98	13.183	102.242	0.99	21.18	8.37	19.9	47.59	18.31	43.05	14.46
Ac 9d 6c	100	56.78	16.7683	98.4367	43.22	13.2318	102.055	2.37	21.62	8.53	20.22	40.77	18.51	48.32	14.45
Ac 9d 7c	100	55.98	16.4315	97.8363	44.02	13.5687	102.753	4.56	21.55	6.6	20.6	30.51	18.67	58.33	14.39
Ac 9d 8c	100	56.94	16.4856	96.5036	43.06	13.5145	104.624	9.81	21.29	8.36	20.74	18.71	18.69	63.12	14.52
Ad Ac 2c	100	57.7	18.4938	106.834	42.3	11.506	90.6748	0.81	18.87	9	19.43	85.42	18.58	4.76	15.08
Ad Ac 3c	100	57.15	18.3709	107.144	42.85	11.6294	90.4726	0.86	18.69	12.59	19.42	81.18	18.44	5.37	14.79
Ad Ac 4c	100	57.46	18.5445	107.583	42.54	11.4554	89.7569	0.89	18.92	11.69	19.43	84.02	18.57	3.41	14.85
Ad Ac 5c	100	57.37	18.4355	107.115	42.63	11.5646	90.426	0.93	19.07	13.17	19.44	82.47	18.42	3.43	14.73
Ad Ac 6c	100	57.43	18.6435	108.217	42.57	11.3567	88.9174	1.11	19.56	14.66	19.7	81.56	18.55	2.67	15.33
Ad Ac 7c	100	55.77	18.1203	108.313	44.23	11.8801	89.5229	2.09	20.01	17.87	19.76	73.62	18.03	6.42	13.94
Ad Ac 8c	100	58.09	18.9016	108.453	41.91	11.099	88.2868	1.22	20.13	12.19	20.08	83.77	18.82	2.81	15.73
Ad Ac 9c	100	58.92	19.2156	108.714	41.08	10.784	87.4993	0.95	20.26	8.52	20.34	87.32	19.19	3.21	16.62
Ah Ad Ac	100	58.43	20.298	115.794	41.57	9.70224	77.8015	1.68	20.69	32.02	20.72	66.21	20.09	0.1	16.55
Ad Ac Jc	100	59.63	19.4683	108.836	40.37	10.5319	86.9518	1.75	22.49	5.49	21.06	85.04	19.5	7.73	17.35
Ad Ac Kc	100	58.26	18.703	107.006	41.74	11.2972	90.2227	14.96	23.71	2.44	21.7	40.43	19.04	42.18	16.43
Ad Ac Qc	100	59.06	19.2161	108.46	40.94	10.7846	87.8026	4.36	23.69	4.94	21.27	72.83	19.4	17.86	16.82
Ad Ac Tc	100	58.63	19.1773	109.037	41.37	10.8232	87.1984	1.83	21.8	8.76	20.88	84.14	19.1	5.27	16.68
Ac Jc 2c	100	56.6	16.3066	96.0309	43.4	13.6936	105.179	1.65	22.41	2.66	21.36	6.66	18.76	89.03	15.86
Ac Jc 2d	100	58.69	17.6871	100.452	41.31	12.3131	99.3599	2.26	23.46	2.73	21.01	50.03	18.89	44.97	15.85
Ac Jc 3c	100	56.41	16.3676	96.7181	43.59	13.6325	104.247	1.75	22.29	3.57	21.22	9.11	18.8	85.57	15.78
Ac Jc 3d	100	58.1	17.4457	100.094	41.9	12.5539	99.867	1.87	23.01	3.19	20.76	48.35	18.84	46.59	15.55
Ac Jc 4c	100	56.55	16.4545	96.9899	43.45	13.5456	103.919	1.69	22.2	4.19	21.2	12.65	18.98	81.47	15.7
Ac Jc 4d	100	58.38	17.6899	101.007	41.62	12.3108	98.5926	1.91	22.83	5.86	20.53	53.45	18.85	38.79	15.41
Ac Jc 5c	100	56.29	16.2337	96.1335	43.71	13.7667	104.982	1.49	22.22	3.81	21.09	11.11	19.09	83.59	15.53
Ac Jc 5d	100	58.25	17.6214	100.833	41.75	12.3785	98.8369	3.24	22.74	8.81	20.36	49.8	18.76	38.15	15.06
Ac Jc 6c	100	56.35	16.2362	96.0462	43.65	13.7638	105.104	1.71	22.52	2.78	21.27	8.41	18.84	87.1	15.7
Ac Jc 6d	100	58.6	18.0595	102.736	41.4	11.9409	96.1313	7.84	23.28	8.29	20.66	46.29	18.98	37.58	15.27
Ac Jc 7c	100	55.28	15.9778	96.3429	44.72	14.0221	104.52	1.41	22.26	3.44	20.7	10.68	19.37	84.47	15.25
Ac Jc 7d	100	56.95	17.5752	102.876	43.05	12.4245	96.1936	26.69	22.69	5.14	20.68	17.56	18.78	50.6	14.14
Ac Jc 8c	100	56.5	16.1214	95.1114	43.5	13.8783	106.347	1.19	21.94	2.74	20.81	7.02	19.63	89.05	15.62
Ac Jc 8d	100	58.88	17.85	101.049	41.12	12.1506	98.5022	20.74	22.45	8.15	21.07	18.87	19.02	52.24	15.1
Ac Jc 9c	100	56.69	16.2751	95.7013	43.31	13.725	105.627	1.26	21.97	3.55	20.86	9.49	19.69	85.71	15.62
Ac Jc 9d	100	59.05	17.8946	101.006	40.95	12.1059	98.5534	21.64	22.55	8.84	21.2	15.22	19.09	54.29	15.17
Ac Jd Jc	100	59.35	18.7782	105.459	40.65	11.2221	92.0302	0.32	22.47	1.89	20.37	68.57	19.33	29.22	17.34
Ac Jc Tc	100	56.61	16.331	96.1641	43.39	13.6699	105.011	0.41	21.82	1.57	20.26	21.33	19.04	76.68	15.47
Ac Jc Td	100	58.98	18.3944	103.955	41.02	11.6056	94.3134	14.4	21.34	22.37	20.36	33.27	19.37	29.96	14.43
Ac Jd 2c	100	58.81	17.8467	101.15	41.19	12.1532	98.3565	2.6	23.7	3.25	21.16	51.48	18.92	42.68	15.95
Ac Jd 3c	100	58.34	17.7293	101.305	41.66	12.2712	98.1774	2.3	23.42	4.24	20.87	51.78	18.87	41.69	15.68
Ac Jd 4c	100	58.51	17.8502	101.702	41.49	12.1498	97.6004	1.9	23.12	6.55	20.62	55.95	18.83	35.6	15.52
Ac Jd 5c	100	58.31	17.7104	101.25	41.69	12.2896	98.2516	3.84	22.9	7.46	20.41	52.84	18.71	35.86	15.12
Ac Jd 6c	100	58.54	18.0382	102.705	41.46	11.9618	96.1808	8.71	23.31	7.4	20.64	45.54	18.9	38.34	15.31
Ac Jd 7c	100	56.94	17.5931	102.991	43.06	12.407	96.0454	28.32	22.55	5.18	20.91	15.46	18.71	51.03	14.17
Ac Jd 8c	100	58.86	17.863	101.155	41.14	12.137	98.3476	20.87	22.41	7.01	21.16	21.57	18.97	50.55	15.06
Ac Jd 9c	100	59.08	17.959	101.324	40.92	12.0414	98.0913	22.8	22.55	8.86	21.25	14.46	19.04	53.88	15.19
Ac Jd Tc	100	59.02	18.4461	104.177	40.98	11.554	93.9837	16.05	21.25	21.92	20.41	32.38	19.36	29.65	14.48
Ac Kc 2c	100	55.69	16.072	96.196	44.31	13.9282	104.783	4.52	22.94	2.22	21.5	2.71	19.61	90.55	15.49
Ac Kc 2d	100	57.35	17.082	99.2885	42.65	12.9184	100.96	13.54	24.17	0.72	21.96	18.73	18.67	67.01	15.15
Ac Kc 3c	100	55.54	16.1912	97.178	44.46	13.8092	103.528	5.19	22.8	3.37	21.3	5.22	19.63	86.22	15.39
Ac Kc 3d	100	56.73	16.8602	99.0638	43.27	13.1402	101.23	14.02	23.8	0.96	21.7	17.3	18.65	67.72	14.9
Ac Kc 4c	100	55.58	16.1169	96.6593	44.42	13.8835	104.183	4.92	22.73	3.76	21.22	5.81	19.61	85.51	15.27
Ac Kc 4d	100	57.11	17.0967	99.794	42.89	12.9036	100.276	16.58	23.63	1.29	21.4	18.61	18.64	63.51	14.85
Ac Kc 5c	100	55.42	15.8336	95.2309	44.58	14.1666	105.931	3.68	22.66	2.72	21.31	3.16	19.63	90.45	15.26
Ac Kc 5d	100	57.1	16.838	98.2902	42.9	13.1623	102.279	13.59	23.18	1.68	21.31	20.55	18.57	64.17	14.82
Ac Kc 6c	100	55.38	15.8725	95.5297	44.62	14.1278	105.551	3.79	22.93	2.26	21.42	2.8	19.63	91.15	15.33
Ac Kc 6d	100	57.29	17.3732	101.076	42.71	12.6271	98.559	19.56	23.48	1.91	21.32	18.87	18.76	59.66	14.81
Ac Kc 7c	100	54.41	15.6634	95.9635	45.59	14.3369	104.819	3.67	22.88	2.64	21.15	3.78	19.39	89.91	15.05
Ac Kc 7d	100	55.79	17.0111	101.63	44.21	12.989	97.9437	21.72	23.15	4.57	20.93	13.12	18.94	60.59	14.1
Ac Kc 8c	100	55.63	15.9777	95.7368	44.37	14.023	105.35	3.73	22.88	2.75	21.35	3.45	19.54	90.07	15.39
Ac Kc 8d	100	57.69	17.7198	102.382	42.31	12.2806	96.7547	23.86	23.28	4.15	21.24	15.74	19.16	56.25	14.7
Ac Kc 9c	100	56.25	16.2731	96.4311	43.75	13.7265	104.586	3.28	22.62	3.77	21.41	4.98	19.8	87.97	15.62
Ac Kc 9d	100	58.45	17.9955	102.633	41.55	12.0048	96.2993	25.13	23.33	3.51	21.51	12.88	19.27	58.48	15.21
Ac Kc Jc	100	56.32	16.1372	95.5106	43.68	13.8646	105.802	1.17	22.66	2.55	20.89	10.06	19.67	86.22	15.5
Ac Kc Jd	100	58.72	17.7749	100.894	41.28	12.2252	98.7284	13.98	21.95	14.34	21.15	14.64	20.03	57.04	15.32
Ac Kd Kc	100	58.03	17.8488	102.534	41.97	12.1514	96.4987	3.25	25.33	1.29	21.23	39.59	19.07	55.88	16.47
Ac Kc Qc	100	56.26	16.2147	96.0728	43.74	13.7857	105.055	1.18	22.52	2.72	20.81	12.05	19.72	84.05	15.48
Ac Kc Qd	100	58.7	18.2285	103.504	41.3	11.7715	95.0197	20.96	22.26	16.31	21.37	11.19	20.04	51.54	15.2
Ac Kc Tc	100	56.12	16.2479	96.5013	43.88	13.752	104.475	1.61	22.77	2.61	20.89	12.5	19.54	83.27	15.48
Ac Kc Td	100	58.26	17.7527	101.572	41.74	12.2474	97.8067	15.05	21.9	14.02	21.04	16.34	19.79	54.58	15.15
Ac Kd 2c	100	57.57	17.3846	100.655	42.43	12.6155	99.112	14.65	24.17	0.77	21.94	22.45	18.64	62.14	15.27
Ac Kd 3c	100	57.08	17.2785	100.907	42.92	12.7217	98.7954	15.8	23.96	0.82	21.84	22.13	18.59	61.24	15.02
Ac Kd 4c	100	57.33	17.3885	101.109	42.67	12.6112	98.5077	18.47	23.77	1.11	21.4	21.01	18.58	59.42	14.91
Ac Kd 5c	100	57.25	17.0721	99.3966	42.75	12.9281	100.81	15.05	23.28	1.66	21.2	22.57	18.53	60.73	14.88
Ac Kd 6c	100	57.34	17.5106	101.803	42.66	12.4893	97.5765	20.52	23.47	1.71	21.41	20.69	18.68	57.08	14.83
Ac Kd 7c	100	55.87	17.1797	102.489	44.13	12.8205	96.8498	23.85	23.06	3.21	21.08	14.4	18.81	58.54	14.17
Ac Kd 8c	100	57.75	17.8668	103.122	42.25	12.1335	95.7339	26.57	23.16	3.34	21.47	15.7	19.02	54.38	14.73
Ac Kd 9c	100	58.56	18.1955	103.577	41.44	11.8047	94.9474	28.04	23.24	3.15	21.73	13.18	19.14	55.63	15.23
Ac Kd Jc	100	58.8	17.8776	101.348	41.2	12.1226	98.0776	15.16	21.9	14.21	21.14	15.07	20.04	55.56	15.36
Ac Kd Qc	100	58.71	18.2566	103.661	41.29	11.7435	94.7964	22.67	22.23	15.41	21.37	10.57	20.02	51.35	15.21
Ac Kd Tc	100	58.38	17.9051	102.24	41.62	12.0948	96.8572	16.74	21.79	14.44	21.01	16.03	19.8	52.8	15.25
Ac Qc 2c	100	56.29	16.322	96.6542	43.71	13.6783	104.311	2.84	22.65	3.45	21.65	5.87	18.93	87.84	15.73
Ac Qc 2d	100	58.16	17.6282	101.041	41.84	12.3723	98.5565	7.04	24.22	1.6	21.23	39.78	18.78	51.58	15.73
Ac Qc 3c	100	56.11	16.4083	97.4831	43.89	13.5924	103.222	3.13	22.5	4.43	21.49	8.6	19.39	83.85	15.61
Ac Qc 3d	100	57.55	17.3903	100.73	42.45	12.6099	99.0121	6.95	23.91	1.93	21.01	38.29	18.71	52.83	15.44
Ac Qc 4c	100	56.19	16.37	97.1042	43.81	13.63	103.715	2.59	22.37	4.44	21.39	11.36	19.4	81.61	15.49
Ac Qc 4d	100	57.93	17.628	101.427	42.07	12.3723	98.0362	8.17	23.88	2.68	20.82	42.03	18.77	47.12	15.34
Ac Qc 5c	100	55.91	16.1169	96.0841	44.09	13.8829	104.964	2.14	22.4	4.43	21.38	8.08	19.43	85.34	15.37
Ac Qc 5d	100	57.82	17.5645	101.256	42.18	12.4355	98.277	10.99	23.65	3.83	20.65	37.04	18.68	48.14	15.07
Ac Qc 6c	100	55.92	16.0901	95.9176	44.08	13.9098	105.177	2.17	22.72	2.61	21.55	6.86	19.23	88.36	15.52
Ac Qc 6d	100	58.09	18.0203	103.403	41.91	11.9797	95.2829	14.74	23.89	5.02	20.77	35.06	18.88	45.19	15.14
Ac Qc 7c	100	54.93	15.9102	96.5558	45.07	14.0901	104.199	2.64	22.68	3.21	21.23	7.18	19.15	86.97	15.24
Ac Qc 7d	100	56.54	17.6449	104.03	43.46	12.3551	94.758	18.25	23.6	7.7	20.61	23.77	18.85	50.28	14.46
Ac Qc 8c	100	56.64	16.1949	95.3086	43.36	13.805	106.128	1.63	22.36	3.02	21.17	4.78	19.84	90.58	15.73
Ac Qc 8d	100	59.07	18.0778	102.009	40.93	11.9221	97.0995	20.65	23.11	3.69	21.33	23.92	19.17	51.74	15.33
Ac Qc 9c	100	56.8	16.4459	96.5206	43.2	13.5544	104.576	2.01	22.32	4.79	21.22	7.64	19.8	85.56	15.74
Ac Qc 9d	100	59.21	18.3841	103.5	40.79	11.6166	94.9257	25.22	23.33	3.56	21.68	20.29	19.21	50.93	15.38
Ac Qc Jc	100	56.84	16.2053	95.0362	43.16	13.7949	106.538	0.8	21.85	2.14	20.77	10.91	19.5	86.15	15.62
Ac Qc Jd	100	59.56	18.3275	102.569	40.44	11.673	96.2206	15.11	22.05	13.98	21.08	26.48	19.68	44.43	15.39
Ac Qd Qc	100	58.83	18.6253	105.532	41.17	11.375	92.0975	1.02	24.21	1.86	20.81	63.2	19.36	33.92	16.97
Ac Qc Tc	100	56.7	16.3711	96.2363	43.3	13.629	104.93	0.75	21.99	2.18	20.73	15.08	19.45	81.99	15.64
Ac Qc Td	100	59.17	18.4263	103.811	40.83	11.5736	94.4769	14.46	22.02	20.01	20.87	25.17	19.56	40.37	15.22
Ac Qd 2c	100	58.36	17.9	102.237	41.64	12.1003	96.8677	7.56	24.46	1.63	21.27	44.9	18.79	45.92	15.83
Ac Qd 3c	100	57.87	17.7846	102.437	42.13	12.2154	96.6514	8.06	24.24	1.93	21.07	44.53	18.74	45.48	15.56
